"Charity Number","Charity Subsidiary Number","Charity Name","Charity Address","Charity Postcode","Charity Constituency","Phone","Email","Website","Last Recorded Financial Year","Last Recorded Income","Last Recorded Expenditure","Charity Status","Charity Type","How the charity helps","What the charity does","Who the charity helps","Activities","Charity Objects"
"800290","0","WEY VALLEY DISABLED ANGLERS ASSOCIATION","1 LIME TREE WALK, FARNBOROUGH","GU14 6HU","Aldershot","01252542540","davephillips.1@btinternet.com","www.wvdaa.co.uk","30/11/2020","1402.0","1961.0","Registered","Other","Makes Grants To Individuals, Makes Grants To Organisations, Provides Other Finance, Provides Human Resources, Provides Buildings/facilities/open Space, Provides Services, Provides Advocacy/advice/information, Sponsors Or Undertakes Research, Acts As An Umbrella Or Resource Body","General Charitable Purposes, Education/training, The Advancement Of Health Or Saving Of Lives, Disability, The Prevention Or Relief Of Poverty, Overseas Aid/famine Relief, Accommodation/housing, Religious Activities, Arts/culture/heritage/science, Amateur Sport, Animals, Environment/conservation/heritage, Economic/community Development/employment","Children/young People, Elderly/old People, People With Disabilities, People Of A Particular Ethnic Or Racial Origin, Other Charities Or Voluntary Bodies, Other Defined Groups, The General Public/mankind","We are a disabled and able-bodied fishing club who's aims are to promote and assist disabled people into angling. We meet most weekends at a variety of different venues from May until October.","(A) TO PROVIDE OR ASSIST IN THE PROVISION OF FACILITIES FOR ANGLING FOR THE DISABLED MEMBERS OF THE WEY VALLEY DISABLED ANGLERS ASSOCIATION AND TO PROMOTE THE INTERESTS OF DISABLED ANGLERS. (B) TO PROVIDE OR ASSIST IN THE PROVISION OF COMPETETIVE AND NON COMPETITIVE ANGLING FOR THOSE MEMBERS IN A SPIRIT OF SPORTSMANSHIP AND FAIR COMPETITION. (C) TO ASSIST THE DISABLED MEMBERS IN THEIR INTEGRATION INTO SOCIETY, AND TO GET INTERESTED  DISABLED ANGLERS ON TO THE BANK. (D) TO ADVISE AND ASSIST WHEREVER POSSIBLE IN DISABLED ANGLERS FISHING FACILITIES."
"292787","0","ST MARY ABBOTS EMPLOYMENT PROJECT (SMART)","THE BASEMENT, 15 GERTRUDE STREET, LONDON","SW10 0JN","Chelsea and Fulham","02077515833","amelia.mustapha@smartlondon.org.uk","www.smartlondon.org.uk","31/03/2020","917511.0","987792.0","Registered","Charitable company","Provides Buildings/facilities/open Space, Provides Services, Provides Advocacy/advice/information, Sponsors Or Undertakes Research, Acts As An Umbrella Or Resource Body","Education/training, The Advancement Of Health Or Saving Of Lives, Disability, The Prevention Or Relief Of Poverty, Arts/culture/heritage/science, Amateur Sport, Environment/conservation/heritage, Economic/community Development/employment, Recreation","Children/young People, Elderly/old People, People With Disabilities, Other Defined Groups, The General Public/mankind","SMART promotes mental health through purposeful activity. We offer supported work & training opportunities in a friendly & enabling environment. People build practical & personal skills, gaining experience & confidence. We also support engagement with wider employment, advice & training opportunities & reconnect people with their community through our programme of social & cultural events.","TO RELIEVE PERSONS WITHIN THE BOROUGH OF KENSINGTON AND CHELSEA WHO ARE SUFFERING FROM ANY FORM OF MENTAL ILLNESS, PARTICULARLY BY THE PROVISION OF SUITABLE EMPLOYMENT OPPORTUNITIES FOR SUCH PERSONS."
"1010796","0","ELLINGHAM EMPLOYMENT SERVICES","5 Ellingham Road, London","E15 2AU","Leyton and Wanstead","02085195234","enquiries@ellingham.org.uk","www.ellingham.org.uk","31/12/2019","1210976.0","1330640.0","Registered","Charitable company","Provides Services, Provides Advocacy/advice/information","Education/training, Disability, Economic/community Development/employment","People With Disabilities","To provide accredited and/or vocational preparation courses to people with disbilities and to assist them to find, and maintain, employment placements in the Greater London area, with or without support from ourselves.","TO RELIEVE THE NEED OF PEOPLE WITH LEARNING AND/OR PHYSICAL DISABILITIES, IN PARTICULAR, BUT NOT EXCLUSIVELY BY THE PROVISION OF VOCATIONAL TRAINING, SHELTERED AND SUPPORTED WORK PLACEMENTS IN THE GREATER LONDON AREA."
"1140090","0","ASIAN PEOPLE'S DISABILITY ALLIANCE LIMITED","A P D A, Alric Day Care Centre, Alric Avenue, Harlesden, London","NW10 8RA","Brent Central","02088304220","director@apda.org.uk","www.apda.org.uk","31/03/2020","630099.0","635841.0","Registered","Charitable company","Provides Services, Provides Advocacy/advice/information, Sponsors Or Undertakes Research","General Charitable Purposes, Education/training, The Advancement Of Health Or Saving Of Lives, Disability, The Prevention Or Relief Of Poverty, Overseas Aid/famine Relief, Accommodation/housing, Arts/culture/heritage/science, Amateur Sport, Economic/community Development/employment","Children/young People, Elderly/old People, People With Disabilities, People Of A Particular Ethnic Or Racial Origin","To provide needs-led and user-led culturally appropriate services and act as a point of resource for Disabled people, their carers and families. To work in partnership and collaboration with service planners to support the needs of Disabled People. To deliver culturally sensitive and appropriate services for Asian Disabled people and their Carers.","THE RELIEF OF DISABLED PERSONS, IN PARTICULAR PERSONS FROM THE ASIAN COMMUNITY"
"1154249","0","YOUR COMMUNITY HEALTH AND WELLBEING","826A GREEN LANES, WINCHMORE HILL, LONDON","N21 2RT","Edmonton","02083605405","","www.ychw.org.uk","30/04/2017","23591.0","16503.0","Registered","Charitable company","Makes Grants To Individuals, Makes Grants To Organisations, Provides Other Finance, Provides Services, Provides Advocacy/advice/information","Education/training, The Advancement Of Health Or Saving Of Lives, Economic/community Development/employment","Children/young People, Elderly/old People, People With Disabilities, The General Public/mankind","Your Community is set up to provide a locally based structure for continual improvement in the health and wellbeing of local communities across London. This will be achieved by supporting the provision of targeted healthcare services; improving self-care through education; and relieving the pressures of unemployment through training and by the creation of local employment opportunities.","1.1.1	TO ADVANCE HEALTH IN PARTICULAR BY PROVIDING HEALTH, WELLBEING AND EDUCATIONAL SERVICES;
1.1.2	TO ADVANCE EDUCATION AND THE RELIEF OF UNEMPLOYMENT IN PARTICULAR BY OFFERING TRAINING, EMPLOYMENT, MENTORING AND OTHER SIMILAR SERVICES FOR THOSE SEEKING EMPLOYMENT;
1.1.3	TO DEVELOP THE CAPACITY AND SKILLS OF THE MEMBERS OF THE SOCIALLY AND ECONOMICALLY DISADVANTAGED COMMUNITY IN LONDON IN SUCH A WAY THAT THEY ARE BETTER ABLE TO IDENTIFY, AND HELP MEET, THEIR NEEDS AND TO PARTICIPATE MORE FULLY IN SOCIETY;
1.1.4	TO FURTHER SUCH OTHER EXCLUSIVELY CHARITABLE PURPOSES ACCORDING TO THE LAW OF ENGLAND AND WALES AS THE TRUSTEES IN THEIR ABSOLUTE DISCRETION FROM TIME TO TIME DETERMINE."
"1063733","0","TRANSPORT FOR ALL","TRANSPORT FOR ALL, 336 BRIXTON ROAD, LONDON","SW9 7AA","Vauxhall","02077372339","contactus@transportforall.org.uk","www.transportforall.org.uk","31/03/2020","147424.0","272804.0","Registered","Charitable company","Provides Human Resources, Provides Advocacy/advice/information, Sponsors Or Undertakes Research, Acts As An Umbrella Or Resource Body","General Charitable Purposes, Education/training, Disability, Economic/community Development/employment","Elderly/old People, People With Disabilities, Other Charities Or Voluntary Bodies","Transport for All (previously known as DART) is a pan-London disability rights organisation of disabled and older people. We provide advice, information and advocacy on all accessible transport issues, as well campaigning on all transport issues that are relevant to our members.","TO ASSIST FRAIL ELDERLY AND DISABLED PEOPLE AND THEIR CARERS BY PROMOTING AND ENSURING THE PROVISION OF ACCESSIBLE TRANSPORT SYSTEMS AND INFRASTRUCTURES, INCLUDING THE PROVISION OF ACCESSIBLE DOOR-TO-DOOR TRANSPORT."
"296309","0","THE PETER BEDFORD TRUST","Peter Bedford Housing Association, 242 Kingsland Road, LONDON","E8 4DG","Hackney South and Shoreditch","02038154100","","www.peterbedford.org.uk","31/03/2020","0.0","0.0","Registered","Charitable company","Provides Other Finance, Provides Buildings/facilities/open Space, Sponsors Or Undertakes Research","General Charitable Purposes, Education/training, The Advancement Of Health Or Saving Of Lives, Disability, The Prevention Or Relief Of Poverty, Accommodation/housing, Economic/community Development/employment","Elderly/old People, People With Disabilities","The charity supports the work of the Peter Bedford Housing Association which provides opportunities for socially excluded and disabled people to become independent through a combination of housing, work, training, employment and personal support. The charity supports the Association's work by providing suitable premises and making grants and loans to support its work.","TO RELIEVE POVERTY, DISTRESS AND HARDSHIP - (I) BY PROVIDING HOUSING, ACCOMMODATION AND OTHER ASSISTANCE AND AMENITIES FOR PERSONS IN NECESSITOUS CIRCUMSTANCES, PARTICULARY PERSONS SUFFERING FROM CHRONIC UNEMPLOYMENT OR FROM PHYSICAL, MENTAL OR SOCIAL DISABILITIES; (II) BY HELPING TO REHABILITATE BY PROVIDING AND SEEKING EMPLOYMENT AND WORK OPPORTUNITIES FOR SUCH PERSONS IN NECESSITOUS CIRCUMSTANCES AS AFORESAID; (III) BY PROMOTING AND CARRYING OUT RESEARCH AND DEVELOPING PRACTICAL METHODS OF PROVIDING USEFUL WORK FOR PERSONS SUFFERING FROM CHRONIC UNEMPLOYMENT OR FROM PHYSICAL, MENTAL OR SOCIAL DISABILITIES, AND BY DISSEMINATING THE RESULTS OF SUCH RESEARCH TO THE PUBLIC; (VI) BY SETTING UP, ESTABLISHING AND SUPPORTING CHARITABLE ORGANISATIONS ESTABLISHED FOR PURPOSES TO RELIEVE POVERTY, DISTRESS AND HARDSHIP AN SUPPORTING OR CO-OPERATING WITH OTHER ORGANISATIONS IN CARRYING OUT ANY OR ALL SUCH PURPOSES."
"1048191","0","TWINING ENTERPRISE","Twining Enterprise, 84 Uxbridge Road, LONDON","W13 8RA","Ealing Central and Acton","02088408833","info@twiningenterprise.org.uk","www.twiningenterprise.org.uk","31/03/2020","1684691.0","1623837.0","Registered","Charitable company","Provides Services, Provides Advocacy/advice/information","Education/training, Disability, Economic/community Development/employment","People With Disabilities, The General Public/mankind","Twining Enterprise provides services to enable adults with mental health problems to gain and sustain mainstream employment. Services include information, advice and guidance, practical support and training.","3.1	the relief of need in people with mental health conditions in such ways as may be thought fit, including by (but not limited to): 
3.1.1	supporting them into work and towards being ready and available for work through the provision of educational, vocational and other training opportunities; and
3.1.2	promoting the employment and retention in employment of people with mental health conditions by working with employers and others concerned with improving prospects of people with mental health conditions;
3.2	promoting public understanding and awareness of mental health conditions;
3.3	working with others to relieve the needs of those suffering from disorders which commonly co-occur with mental health conditions, including by (but not limited to) addiction, musculo-sketetal conditions and other disabilities.
(the “Objects”)"
"1114607","0","EAST EUROPEAN RESOURCE CENTRE","Room 18, 238-246 King Street, London","W6 0RF","Hammersmith","02087411288","voice@eerc.org.uk","www.eerc.org.uk","31/03/2020","680462.0","535842.0","Registered","Charitable company","Provides Services, Provides Advocacy/advice/information","Education/training, The Advancement Of Health Or Saving Of Lives, The Prevention Or Relief Of Poverty, Economic/community Development/employment, Human Rights/religious Or Racial Harmony/equality Or Diversity","Children/young People, Elderly/old People, People With Disabilities, People Of A Particular Ethnic Or Racial Origin, Other Charities Or Voluntary Bodies","East European Resource Centre (previously East European Advice Centre) is an independent charity offering information, advice and resources to people from Eastern Europe in the area of welfare benefits, housing, employment, debt, immigration, education and health in order to help them to make choices in lives and realise their potential as equal equal and respected members of communities.","TO RELIEVE POVERTY AMONG EAST EUROPEANS AND ADVANCE EDUCATION, EMPLOYMENT AND AWARENESS OF RIGHTS AND RESPONSIBILITIES."
"1027205","0","LATIN AMERICAN DISABLED PEOPLES PROJECT","PO BOX 43412, LONDON","SE17 3WZ","Bermondsey and Old Southwark","02077938399","ladpp@ladpp.org.uk","www.ladpp.org.uk","31/03/2020","106759.0","118779.0","Registered","Other","Provides Advocacy/advice/information, Other Charitable Activities","General Charitable Purposes, Disability, The Prevention Or Relief Of Poverty, Environment/conservation/heritage, Economic/community Development/employment","Children/young People, Elderly/old People, People With Disabilities, People Of A Particular Ethnic Or Racial Origin","To improve the quality of lives, independence and community integration of disabled spanish and portuguese speaking people, their carers, families and communities living in London through information, advice, advocacy, representation, interpreting, training, social and cultural events, and volunteer opportunities.","TO PROMOTE THE RELIEF OF POVERTY, SICKNESS AND DISTRESS AND TO ADVANCE THE EDUCATION OF LATIN AMERICAN PEOPLE LIVING (OR WORKING) IN GREATER LONDON, AND TO PROVIDE FACILITIES FOR RECREATION AND OTHER LEISURE TIME OCCUPATION WITH THE OBJECT OF IMPROVING THE CONDITIONS OF LIFE OF SUCH PERSONS HAVING NEED OF SUCH FACILITIES BY REASON OF THEIR DISABILITIES AND THEIR SOCIAL AND ECONOMIC CIRCUMSTANCES"
